ОСЦ;Площадка;ФИО;Операции;Индекс;Вид_операций;Сектор_произ;Норматив, шт;ШК;Кол-во операций;Время по ШР;Выработка, %;Доля ручных операций в выработке, %;Дата;
ОСЦ Воронеж;Вне подразделений;e1ac6183-bd86-4c14-bec7-a6d731458688;Разработка/корректировка отчетов;IA 002 000 00 00;Ручные;Непр.;495;-;85;8:15:00;17,17;100,0;12.03.2026;e1ac6183-bd86-4c14-bec7-a6d731458688
ОСЦ Воронеж;Вне подразделений;e1ac6183-bd86-4c14-bec7-a6d731458688;Разработка/Сопровождение RPA алгоритмов;IA 004 000 00 00;Ручные;Непр.;495;-;420;-;84,85;100,0;12.03.2026;e1ac6183-bd86-4c14-bec7-a6d731458688
ОСЦ Воронеж;Вне подразделений;4c79abeb-b852-4007-a6aa-65e2109da5e1;Выполнение поручений ЦАС/руководства СЦА.Контроль исполнения  поручений;NO 038 001 00 00;Ручные;Непр.;495;-;190;-;38,38;100,0;12.03.2026;4c79abeb-b852-4007-a6aa-65e2109da5e1
ОСЦ Воронеж;Вне подразделений;4c79abeb-b852-4007-a6aa-65e2109da5e1;Заполнение и верификация отчетов;NO 010 002 00 00;Ручные;Непр.;495;-;130;-;26,26;100,0;12.03.2026;4c79abeb-b852-4007-a6aa-65e2109da5e1
ОСЦ Воронеж;Вне подразделений;4c79abeb-b852-4007-a6aa-65e2109da5e1;Изучение нормативной базы,обучение и контроль знаний сотрудников.;NO 003 005 00 00;Ручные;Непр.;495;-;80;-;16,16;100,0;12.03.2026;4c79abeb-b852-4007-a6aa-65e2109da5e1
ОСЦ Воронеж;Вне подразделений;4c79abeb-b852-4007-a6aa-65e2109da5e1;Коммуникации и взаимодействие;NO 041 001 00 00;Ручные;Непр.;495;-;120;8:15:00;24,24;100,0;12.03.2026;4c79abeb-b852-4007-a6aa-65e2109da5e1
ОСЦ Воронеж;Вне подразделений;4c79abeb-b852-4007-a6aa-65e2109da5e1;Работа в MS OUTLOOK;NO 003 004 00 00;Ручные;Непр.;495;-;60;-;12,12;100,0;12.03.2026;4c79abeb-b852-4007-a6aa-65e2109da5e1
ОСЦ Воронеж;Вне подразделений;0beedab2-bce5-4fde-9704-5b57df2e0c61;Выполнение поручений ЦАС/руководства СЦА.Контроль исполнения  поручений;NO 038 001 00 00;Ручные;Непр.;495;-;90;-;18,18;100,0;12.03.2026;0beedab2-bce5-4fde-9704-5b57df2e0c61
ОСЦ Воронеж;Вне подразделений;0beedab2-bce5-4fde-9704-5b57df2e0c61;Заполнение и верификация отчетов;NO 010 002 00 00;Ручные;Непр.;495;-;185;-;37,37;100,0;12.03.2026;0beedab2-bce5-4fde-9704-5b57df2e0c61
ОСЦ Воронеж;Вне подразделений;0beedab2-bce5-4fde-9704-5b57df2e0c61;Коммуникации и взаимодействие;NO 041 001 00 00;Ручные;Непр.;495;-;120;8:15:00;24,24;100,0;12.03.2026;0beedab2-bce5-4fde-9704-5b57df2e0c61
ОСЦ Воронеж;Вне подразделений;0beedab2-bce5-4fde-9704-5b57df2e0c61;Работа в MS OUTLOOK;NO 003 004 00 00;Ручные;Непр.;495;-;100;-;20,20;100,0;12.03.2026;0beedab2-bce5-4fde-9704-5b57df2e0c61
ОСЦ Воронеж;Вне подразделений;545c9ea1-6090-42e1-ace3-00a80ee4a4f9;Анализ и контроль производственных показателей сервиса инструментами Кадриль,Дашборд,контрольные панели;NO 008 001 00 00;Ручные;Непр.;495;-;40;-;8,08;100,0;12.03.2026;545c9ea1-6090-42e1-ace3-00a80ee4a4f9
ОСЦ Воронеж;Вне подразделений;545c9ea1-6090-42e1-ace3-00a80ee4a4f9;Ведение и подготовка табеля.Консультирование сотрудников по работе в АС ПУЛЬС;NO 006 009 00 00;Ручные;Непр.;495;-;30;-;6,06;100,0;12.03.2026;545c9ea1-6090-42e1-ace3-00a80ee4a4f9
ОСЦ Воронеж;Вне подразделений;545c9ea1-6090-42e1-ace3-00a80ee4a4f9;Заполнение и верификация отчетов;NO 010 002 00 00;Ручные;Непр.;495;-;408;-;82,42;100,0;12.03.2026;545c9ea1-6090-42e1-ace3-00a80ee4a4f9
ОСЦ Воронеж;Вне подразделений;545c9ea1-6090-42e1-ace3-00a80ee4a4f9;Изучение нормативной базы,обучение и контроль знаний сотрудников.;NO 003 005 00 00;Ручные;Непр.;495;-;20;-;4,04;100,0;12.03.2026;545c9ea1-6090-42e1-ace3-00a80ee4a4f9
ОСЦ Воронеж;Вне подразделений;545c9ea1-6090-42e1-ace3-00a80ee4a4f9;Работа в MS OUTLOOK;NO 003 004 00 00;Ручные;Непр.;495;-;80;8:15:00;16,16;100,0;12.03.2026;545c9ea1-6090-42e1-ace3-00a80ee4a4f9
ОСЦ Воронеж;Вне подразделений;d3d999a7-ba8b-4ce9-b7df-996e8ae1841c;Коммуникации;IA 006 000 00 00;Ручные;Непр.;495;-;140;-;28,28;100,0;12.03.2026;d3d999a7-ba8b-4ce9-b7df-996e8ae1841c
ОСЦ Воронеж;Вне подразделений;d3d999a7-ba8b-4ce9-b7df-996e8ae1841c;Разработка/корректировка отчетов;IA 002 000 00 00;Ручные;Непр.;495;-;420;8:15:00;84,85;100,0;12.03.2026;d3d999a7-ba8b-4ce9-b7df-996e8ae1841c
ОСЦ Воронеж;Вне подразделений;5bb114a9-15db-417a-a550-19a97e241189;Заполнение и верификация отчетов;NO 010 002 00 00;Ручные;Непр.;495;-;480;-;96,97;100,0;12.03.2026;5bb114a9-15db-417a-a550-19a97e241189
ОСЦ Воронеж;Вне подразделений;5bb114a9-15db-417a-a550-19a97e241189;Коммуникации и взаимодействие;NO 041 001 00 00;Ручные;Непр.;495;-;95;8:15:00;19,19;100,0;12.03.2026;5bb114a9-15db-417a-a550-19a97e241189
ОСЦ Воронеж;Вне подразделений;5bb114a9-15db-417a-a550-19a97e241189;Работа в MS OUTLOOK;NO 003 004 00 00;Ручные;Непр.;495;-;3;-;0,61;100,0;12.03.2026;5bb114a9-15db-417a-a550-19a97e241189
ОСЦ Воронеж;Вне подразделений;1ed05d58-c749-4ff0-90b4-768b2b594802;Коммуникации;IA 006 000 00 00;Ручные;Непр.;495;-;60;-;12,12;100,0;12.03.2026;1ed05d58-c749-4ff0-90b4-768b2b594802
ОСЦ Воронеж;Вне подразделений;1ed05d58-c749-4ff0-90b4-768b2b594802;Разработка СУА;IA 003 000 00 01;Ручные;Непр.;495;-;55;-;11,11;100,0;12.03.2026;1ed05d58-c749-4ff0-90b4-768b2b594802
ОСЦ Воронеж;Вне подразделений;1ed05d58-c749-4ff0-90b4-768b2b594802;Разработка/корректировка отчетов;IA 002 000 00 00;Ручные;Непр.;495;-;450;8:15:00;90,91;100,0;12.03.2026;1ed05d58-c749-4ff0-90b4-768b2b594802
ОСЦ Воронеж;Вне подразделений;0f687015-2447-4a76-a4c8-27d960174c12;Анализ и контроль производственных показателей сервиса инструментами Кадриль,Дашборд,контрольные панели;NO 008 001 00 00;Ручные;Непр.;495;-;45;-;9,09;100,0;12.03.2026;0f687015-2447-4a76-a4c8-27d960174c12
ОСЦ Воронеж;Вне подразделений;0f687015-2447-4a76-a4c8-27d960174c12;Выполнение поручений ЦАС/руководства СЦА.Контроль исполнения  поручений;NO 038 001 00 00;Ручные;Непр.;495;-;80;-;16,16;100,0;12.03.2026;0f687015-2447-4a76-a4c8-27d960174c12
ОСЦ Воронеж;Вне подразделений;0f687015-2447-4a76-a4c8-27d960174c12;Заполнение и верификация отчетов;NO 010 002 00 00;Ручные;Непр.;495;-;60;-;12,12;100,0;12.03.2026;0f687015-2447-4a76-a4c8-27d960174c12
ОСЦ Воронеж;Вне подразделений;0f687015-2447-4a76-a4c8-27d960174c12;Изучение нормативной базы,обучение и контроль знаний сотрудников.;NO 003 005 00 00;Ручные;Непр.;495;-;20;-;4,04;100,0;12.03.2026;0f687015-2447-4a76-a4c8-27d960174c12
ОСЦ Воронеж;Вне подразделений;0f687015-2447-4a76-a4c8-27d960174c12;Кадровые мероприятия.Предложения по кадровым вопросам;NO 033 001 00 00;Ручные;Непр.;495;-;60;-;12,12;100,0;12.03.2026;0f687015-2447-4a76-a4c8-27d960174c12
ОСЦ Воронеж;Вне подразделений;0f687015-2447-4a76-a4c8-27d960174c12;Коммуникации и взаимодействие;NO 041 001 00 00;Ручные;Непр.;495;-;80;8:15:00;16,16;100,0;12.03.2026;0f687015-2447-4a76-a4c8-27d960174c12
ОСЦ Воронеж;Вне подразделений;0f687015-2447-4a76-a4c8-27d960174c12;Мониторинг и  уточнение информации по инцидентам;NO 020 001 00 00;Ручные;Непр.;495;-;40;-;8,08;100,0;12.03.2026;0f687015-2447-4a76-a4c8-27d960174c12
ОСЦ Воронеж;Вне подразделений;0f687015-2447-4a76-a4c8-27d960174c12;Работа в СЭОДО;NO 003 002 00 00;Ручные;Непр.;495;-;20;-;4,04;100,0;12.03.2026;0f687015-2447-4a76-a4c8-27d960174c12
ОСЦ Воронеж;Вне подразделений;0f687015-2447-4a76-a4c8-27d960174c12;Работа в MS OUTLOOK;NO 003 004 00 00;Ручные;Непр.;495;-;40;-;8,08;100,0;12.03.2026;0f687015-2447-4a76-a4c8-27d960174c12
ОСЦ Воронеж;Вне подразделений;0f687015-2447-4a76-a4c8-27d960174c12;Работа по направлениям ПБ,ОТ,ЭБ и ГО;NO 037 001 00 00;Ручные;Непр.;495;-;20;-;4,04;100,0;12.03.2026;0f687015-2447-4a76-a4c8-27d960174c12
ОСЦ Воронеж;Вне подразделений;0f687015-2447-4a76-a4c8-27d960174c12;Работа с заявками СберДруг,Курс,САП,САП УВХД и др.ПО;NO 031 001 00 00;Ручные;Непр.;495;-;10;-;2,02;100,0;12.03.2026;0f687015-2447-4a76-a4c8-27d960174c12
ОСЦ Воронеж;Вне подразделений;0f687015-2447-4a76-a4c8-27d960174c12;Работа с каналами коммуникации(СберЧат,Сообщества СберДруг,Информационные экраны и т.д.)(контент редактор);NO 005 003 00 00;Ручные;Непр.;495;-;20;-;4,04;100,0;12.03.2026;0f687015-2447-4a76-a4c8-27d960174c12
ОСЦ Воронеж;Вне подразделений;01c1247f-12af-4f9a-845c-de542fd2b61c;Коммуникации;IA 006 000 00 00;Ручные;Непр.;495;-;20;-;4,04;100,0;12.03.2026;01c1247f-12af-4f9a-845c-de542fd2b61c
ОСЦ Воронеж;Вне подразделений;01c1247f-12af-4f9a-845c-de542fd2b61c;Разработка/корректировка отчетов;IA 002 000 00 00;Ручные;Непр.;495;-;545;8:15:00;110,10;100,0;12.03.2026;01c1247f-12af-4f9a-845c-de542fd2b61c
ОСЦ Воронеж;Воронеж;1ab4d251-ecd7-42c1-b4bc-2c2de8ae8a84;АК изъят с хранения;BX 0013 000 00 01;Автоматические;СЛиУД;928,125;-;1;-;0,11;0,0;12.03.2026;1ab4d251-ecd7-42c1-b4bc-2c2de8ae8a84
ОСЦ Воронеж;Воронеж;1ab4d251-ecd7-42c1-b4bc-2c2de8ae8a84;АК размещен на хранение;BX 0010 000 00 01;Автоматические;СЛиУД;690,6976744;-;21;-;3,04;0,0;12.03.2026;1ab4d251-ecd7-42c1-b4bc-2c2de8ae8a84
ОСЦ Воронеж;Воронеж;1ab4d251-ecd7-42c1-b4bc-2c2de8ae8a84;Добавление ШК во внутреннюю заявку;SZ 184 000 00 00;Ручные;СИД;759,7268053;-;20;-;2,63;100,0;12.03.2026;1ab4d251-ecd7-42c1-b4bc-2c2de8ae8a84
ОСЦ Воронеж;Воронеж;1ab4d251-ecd7-42c1-b4bc-2c2de8ae8a84;Документ включен в TD-реестр на уничтожение;TD 193 000 00 01;Автоматические;СЛиУД;0;-;467;-;0,00;-;12.03.2026;1ab4d251-ecd7-42c1-b4bc-2c2de8ae8a84
ОСЦ Воронеж;Воронеж;1ab4d251-ecd7-42c1-b4bc-2c2de8ae8a84;Доукомплектование документа ЗД в архивный/файловый короб;CP 0030 000 00 03;Автоматические;СЛиУД;4697,137435;-;7;-;0,15;0,0;12.03.2026;1ab4d251-ecd7-42c1-b4bc-2c2de8ae8a84
ОСЦ Воронеж;Воронеж;1ab4d251-ecd7-42c1-b4bc-2c2de8ae8a84;Доукомплектование Сшива в архивный/файловый короб;CP 0030 000 00 04;Автоматические;СЛиУД;3970,057479;-;7;-;0,18;0,0;12.03.2026;1ab4d251-ecd7-42c1-b4bc-2c2de8ae8a84
ОСЦ Воронеж;Воронеж;1ab4d251-ecd7-42c1-b4bc-2c2de8ae8a84;Закрытие внутренней заявки;SZ 185 000 00 00;Ручные;СИД;366,0565724;-;7;-;1,91;100,0;12.03.2026;1ab4d251-ecd7-42c1-b4bc-2c2de8ae8a84
ОСЦ Воронеж;Воронеж;1ab4d251-ecd7-42c1-b4bc-2c2de8ae8a84;Занесение в таблицу соответствий ШК АК и ОСГ(пломба);SL 113 000 00 00;Ручные;СЛиУД;645,6521739;-;23;-;3,56;100,0;12.03.2026;1ab4d251-ecd7-42c1-b4bc-2c2de8ae8a84
ОСЦ Воронеж;Воронеж;1ab4d251-ecd7-42c1-b4bc-2c2de8ae8a84;Перемаркировка ЕХ ист.фонда ДВА;CP 0047 000 00 02;Автоматические;СКД;469,7880418;-;2;-;0,43;0,0;12.03.2026;1ab4d251-ecd7-42c1-b4bc-2c2de8ae8a84
ОСЦ Воронеж;Воронеж;1ab4d251-ecd7-42c1-b4bc-2c2de8ae8a84;Подбор по запросам продуктовых документов/сшивов кроме однолистных документов по ШК GUID (ОСГ);PD 001 000 03 00;Автоматические;СЛиУД;230,0987798;-;27;-;11,73;0,0;12.03.2026;1ab4d251-ecd7-42c1-b4bc-2c2de8ae8a84
ОСЦ Воронеж;Воронеж;1ab4d251-ecd7-42c1-b4bc-2c2de8ae8a84;Подбор продуктовых документов на уничтожение по актам по КБП: 02 (ОСГ);PD 004 000 03 00;Автоматические;СЛиУД;724,3725763;-;167;-;23,05;0,0;12.03.2026;1ab4d251-ecd7-42c1-b4bc-2c2de8ae8a84
ОСЦ Воронеж;Воронеж;1ab4d251-ecd7-42c1-b4bc-2c2de8ae8a84;Подбор продуктовых документов на уничтожение по актам по КБП: 04 (ОСГ);PD 007 000 03 00;Автоматические;СЛиУД;630,8947234;-;300;-;47,55;0,0;12.03.2026;1ab4d251-ecd7-42c1-b4bc-2c2de8ae8a84
ОСЦ Воронеж;Воронеж;1ab4d251-ecd7-42c1-b4bc-2c2de8ae8a84;Поиск документа(все виды документов)в АК по заявке в АС ЦАРC,в том числе сшивы ДД;SZ 060 000 00 01;Ручные;СИД;123,75;-;6;-;4,85;100,0;12.03.2026;1ab4d251-ecd7-42c1-b4bc-2c2de8ae8a84
ОСЦ Воронеж;Воронеж;1ab4d251-ecd7-42c1-b4bc-2c2de8ae8a84;Поиск необходимого АК в партии для аутсорсинговой площадки ОСГ;SL 092 000 00 00;Ручные;СЛиУД;618,75;-;23;-;3,72;100,0;12.03.2026;1ab4d251-ecd7-42c1-b4bc-2c2de8ae8a84
ОСЦ Воронеж;Воронеж;1ab4d251-ecd7-42c1-b4bc-2c2de8ae8a84;Прием и исполнение внутренней заявки;SZ 183 000 00 00;Ручные;СИД;41,13322734;-;7;8:15:00;17,02;100,0;12.03.2026;1ab4d251-ecd7-42c1-b4bc-2c2de8ae8a84
ОСЦ Воронеж;Воронеж;1ab4d251-ecd7-42c1-b4bc-2c2de8ae8a84;Принято в СОЗ из СЛ LZ ЦАРС по запросам(с сортировкой);RR 0099 000 00 01;Автоматические;СИД;2525,510204;-;7;-;0,28;0,0;12.03.2026;1ab4d251-ecd7-42c1-b4bc-2c2de8ae8a84
ОСЦ Воронеж;Воронеж;1ab4d251-ecd7-42c1-b4bc-2c2de8ae8a84;Размещение ЭГО документов/досье в ЕСМ по запросу(Прикрепление ЭГО общим томом);SS 0097 000 00 01;Автоматические;СИД;467,7165354;-;8;-;1,71;0,0;12.03.2026;1ab4d251-ecd7-42c1-b4bc-2c2de8ae8a84
ОСЦ Воронеж;Воронеж;1ab4d251-ecd7-42c1-b4bc-2c2de8ae8a84;Сканирование общим томом;SC 000 000 00 01;Автоматические;СИД;5818,965517;-;87;-;1,50;0,0;12.03.2026;1ab4d251-ecd7-42c1-b4bc-2c2de8ae8a84
ОСЦ Воронеж;Воронеж;1ab4d251-ecd7-42c1-b4bc-2c2de8ae8a84;Сканирование скелетон;SC 000 000 00 02;Автоматические;СИД;3397,003317;-;7;-;0,21;0,0;12.03.2026;1ab4d251-ecd7-42c1-b4bc-2c2de8ae8a84
ОСЦ Воронеж;Воронеж;1ab4d251-ecd7-42c1-b4bc-2c2de8ae8a84;Создание заявок в АС ЦАРС;PS 000 000 00 03;Автоматические;СИД;857,5883576;-;7;-;0,82;0,0;12.03.2026;1ab4d251-ecd7-42c1-b4bc-2c2de8ae8a84
ОСЦ Воронеж;Воронеж;5349b3e4-8029-408f-87c9-bf2c773a818d;АК изъят с хранения;BX 0013 000 00 01;Автоматические;СЛиУД;928,125;-;23;-;2,48;0,0;12.03.2026;5349b3e4-8029-408f-87c9-bf2c773a818d
ОСЦ Воронеж;Воронеж;5349b3e4-8029-408f-87c9-bf2c773a818d;Подбор документов завершенного делопроизводства без ШК на уничтожение по акту (Мезонин);PD 009 000 02 00;Автоматические;СЛиУД;707,8169685;-;710;-;100,31;0,0;12.03.2026;5349b3e4-8029-408f-87c9-bf2c773a818d
ОСЦ Воронеж;Воронеж;5349b3e4-8029-408f-87c9-bf2c773a818d;Регистрация АК;BX 0077 000 00 01;Автоматические;СКД;1720,941013;-;2;-;0,12;0,0;12.03.2026;5349b3e4-8029-408f-87c9-bf2c773a818d
ОСЦ Воронеж;Воронеж;5349b3e4-8029-408f-87c9-bf2c773a818d;Регистрация FB;BX 0085 000 00 01;Автоматические;СКД;1720,941013;-;3;-;0,17;0,0;12.03.2026;5349b3e4-8029-408f-87c9-bf2c773a818d
ОСЦ Воронеж;Воронеж;5349b3e4-8029-408f-87c9-bf2c773a818d;Сортировка СДД;SR 326 000 00 00;Ручные;СКД;1711,618257;-;153;8:15:00;8,94;100,0;12.03.2026;5349b3e4-8029-408f-87c9-bf2c773a818d
ОСЦ Воронеж;Воронеж;2e86db6e-9e61-438b-9098-813aca417a4e;169 Выполнена перерегистрация продуктового документа;PR 169 000 00 00;Автоматические;СКД;741,0179641;-;2;-;0,27;0,0;12.03.2026;2e86db6e-9e61-438b-9098-813aca417a4e
ОСЦ Воронеж;Воронеж;2e86db6e-9e61-438b-9098-813aca417a4e;Опись некорректна оформлена,поскольку все вложенные документы относятся к другому договору;SR 0101 000 00 01;Автоматические;СКД;2828,571429;-;8;-;0,28;0,0;12.03.2026;2e86db6e-9e61-438b-9098-813aca417a4e
ОСЦ Воронеж;Воронеж;2e86db6e-9e61-438b-9098-813aca417a4e;Поиск дополнительных реквизитов для регистрации в АС ЦАРС при некорректной передачи документов по БП;SR 321 000 00 00;Ручные;СКД;370,7818879;-;100;-;26,97;100,0;12.03.2026;2e86db6e-9e61-438b-9098-813aca417a4e
ОСЦ Воронеж;Воронеж;2e86db6e-9e61-438b-9098-813aca417a4e;Прием документов от ГОСБ/курьера;SR 319 000 00 00;Ручные;СКД;303,4079765;-;76;-;25,05;100,0;12.03.2026;2e86db6e-9e61-438b-9098-813aca417a4e
ОСЦ Воронеж;Воронеж;2e86db6e-9e61-438b-9098-813aca417a4e;Прием ТУ в АС ЦАРС;TU 010 000 00 00;Автоматические;СКД;60860,65574;-;7 167;-;11,78;0,0;12.03.2026;2e86db6e-9e61-438b-9098-813aca417a4e
ОСЦ Воронеж;Воронеж;2e86db6e-9e61-438b-9098-813aca417a4e;Регистрация БП 239 (VSP/Однолистный документ);RG 0001 239 01 02;Автоматические;СКД;2029,65899;ВСП;52;-;2,56;0,0;12.03.2026;2e86db6e-9e61-438b-9098-813aca417a4e
ОСЦ Воронеж;Воронеж;2e86db6e-9e61-438b-9098-813aca417a4e;Регистрация БП 239 (VSP/Опись);RG 0001 239 02 02;Автоматические;СКД;1100;ВСП;4;-;0,36;0,0;12.03.2026;2e86db6e-9e61-438b-9098-813aca417a4e
ОСЦ Воронеж;Воронеж;2e86db6e-9e61-438b-9098-813aca417a4e;Регистрация по БП 07 (REG);RG 0001 007 00 01;Автоматические;СКД;781,5789474;Рег.;2;-;0,26;0,0;12.03.2026;2e86db6e-9e61-438b-9098-813aca417a4e
ОСЦ Воронеж;Воронеж;2e86db6e-9e61-438b-9098-813aca417a4e;Регистрация по БП 07 (VSP);RG 0001 007 00 02;Автоматические;СКД;825;ВСП;31;-;3,76;0,0;12.03.2026;2e86db6e-9e61-438b-9098-813aca417a4e
ОСЦ Воронеж;Воронеж;2e86db6e-9e61-438b-9098-813aca417a4e;Регистрация по БП 323 (REG/Однолистный документ);RG 0001 323 01 01;Автоматические;СКД;1789,156627;-;4;-;0,22;0,0;12.03.2026;2e86db6e-9e61-438b-9098-813aca417a4e
ОСЦ Воронеж;Воронеж;2e86db6e-9e61-438b-9098-813aca417a4e;Регистрация по БП 323 (VSP/Однолистный документ);RG 0001 323 01 02;Автоматические;СКД;3368,110683;ВСП;171;-;5,08;0,0;12.03.2026;2e86db6e-9e61-438b-9098-813aca417a4e
ОСЦ Воронеж;Воронеж;2e86db6e-9e61-438b-9098-813aca417a4e;Регистрация по БП 323 (VSP/Опись);RG 0001 323 02 02;Автоматические;СКД;2034,246575;ВСП;2;-;0,10;0,0;12.03.2026;2e86db6e-9e61-438b-9098-813aca417a4e
ОСЦ Воронеж;Воронеж;2e86db6e-9e61-438b-9098-813aca417a4e;Сопровождение наемного персонала/перемещение коробов/палет в минутах;SR 046 000 00 00;Ручные;СКД;495;-;60;-;12,12;100,0;12.03.2026;2e86db6e-9e61-438b-9098-813aca417a4e
ОСЦ Воронеж;Воронеж;2e86db6e-9e61-438b-9098-813aca417a4e;Сортировка документов входящего потока;TU 020 000 00 00;Ручные;СКД;9434,561626;-;2 167;8:15:00;22,97;100,0;12.03.2026;2e86db6e-9e61-438b-9098-813aca417a4e
ОСЦ Воронеж;Воронеж;a394c330-fc5d-4501-919a-953c907b909c;АК изъят с хранения;BX 0013 000 00 01;Автоматические;СЛиУД;815,625;-;15;-;1,84;0,0;12.03.2026;a394c330-fc5d-4501-919a-953c907b909c
ОСЦ Воронеж;Воронеж;a394c330-fc5d-4501-919a-953c907b909c;Документ/Опись/Сшив присутствовал внутри короба при проведении контроля полноты короба;BF 0038 000 00 01;Автоматические;СЛиУД;0;-;309;-;0,00;-;12.03.2026;a394c330-fc5d-4501-919a-953c907b909c
ОСЦ Воронеж;Воронеж;a394c330-fc5d-4501-919a-953c907b909c;Подбор документов завершенного делопроизводства без ШК на уничтожение по акту (Мезонин);PD 009 000 02 00;Автоматические;СЛиУД;622,0209724;-;226;-;36,33;0,0;12.03.2026;a394c330-fc5d-4501-919a-953c907b909c
ОСЦ Воронеж;Воронеж;a394c330-fc5d-4501-919a-953c907b909c;Сверка строк рабочего Акта с Перечнем 1350-4;SS 000 000 00 00;Ручные;СКД;260,5154413;-;215;-;82,53;100,0;12.03.2026;a394c330-fc5d-4501-919a-953c907b909c
ОСЦ Воронеж;Воронеж;a394c330-fc5d-4501-919a-953c907b909c;Сортировка СДД;SR 326 000 00 00;Ручные;СКД;1504,149378;-;249;7:15:00;16,55;100,0;12.03.2026;a394c330-fc5d-4501-919a-953c907b909c
