;ОСЦ;Площадка;ФИО;Операции;Индекс;Вид_операций;Сектор_произ;Норматив, шт;ШК;Кол-во операций;Время по ШР;Выработка, %;Доля ручных операций в выработке, %;Дата
11;ОСЦ Воронеж;Вне подразделений;4cc7906c-bc2d-4485-a9a7-2102a0097528;Заполнение и верификация отчетов;NO 010 002 00 00;Ручные;Непр.;495;-;548;-;110,7070707;100;2026-03-12 00:00:00
12;ОСЦ Воронеж;Вне подразделений;4cc7906c-bc2d-4485-a9a7-2102a0097528;Коммуникации и взаимодействие;NO 041 001 00 00;Ручные;Непр.;495;-;10;08:15:00;2,02020202;100;2026-03-12 00:00:00
13;ОСЦ Воронеж;Вне подразделений;4cc7906c-bc2d-4485-a9a7-2102a0097528;Работа в MS OUTLOOK;NO 003 004 00 00;Ручные;Непр.;495;-;10;-;2,02020202;100;2026-03-12 00:00:00
14;ОСЦ Воронеж;Вне подразделений;4cc7906c-bc2d-4485-a9a7-2102a0097528;Работа с заявками СберДруг,Курс,САП,САП УВХД и др.ПО;NO 031 001 00 00;Ручные;Непр.;495;-;10;-;2,02020202;100;2026-03-12 00:00:00
15;ОСЦ Воронеж;Вне подразделений;0c07b848-b8c7-4450-878a-6d554e744fa6;Коммуникации;IA 006 000 00 00;Ручные;Непр.;495;-;60;-;12,12121212;100;2026-03-12 00:00:00
16;ОСЦ Воронеж;Вне подразделений;0c07b848-b8c7-4450-878a-6d554e744fa6;Разработка/корректировка отчетов;IA 002 000 00 00;Ручные;Непр.;495;-;85;08:15:00;17,17171717;100;2026-03-12 00:00:00
17;ОСЦ Воронеж;Вне подразделений;0c07b848-b8c7-4450-878a-6d554e744fa6;Разработка/Сопровождение RPA алгоритмов;IA 004 000 00 00;Ручные;Непр.;495;-;420;-;84,84848485;100;2026-03-12 00:00:00
18;ОСЦ Воронеж;Вне подразделений;abb68a06-0308-4ac5-926c-7be246165079;Выполнение поручений ЦАС/руководства СЦА.Контроль исполнения  поручений;NO 038 001 00 00;Ручные;Непр.;495;-;190;-;38,38383838;100;2026-03-12 00:00:00
19;ОСЦ Воронеж;Вне подразделений;abb68a06-0308-4ac5-926c-7be246165079;Заполнение и верификация отчетов;NO 010 002 00 00;Ручные;Непр.;495;-;130;-;26,26262626;100;2026-03-12 00:00:00
20;ОСЦ Воронеж;Вне подразделений;abb68a06-0308-4ac5-926c-7be246165079;Изучение нормативной базы,обучение и контроль знаний сотрудников.;NO 003 005 00 00;Ручные;Непр.;495;-;80;-;16,16161616;100;2026-03-12 00:00:00
21;ОСЦ Воронеж;Вне подразделений;abb68a06-0308-4ac5-926c-7be246165079;Коммуникации и взаимодействие;NO 041 001 00 00;Ручные;Непр.;495;-;120;08:15:00;24,24242424;100;2026-03-12 00:00:00
22;ОСЦ Воронеж;Вне подразделений;abb68a06-0308-4ac5-926c-7be246165079;Работа в MS OUTLOOK;NO 003 004 00 00;Ручные;Непр.;495;-;60;-;12,12121212;100;2026-03-12 00:00:00
23;ОСЦ Воронеж;Вне подразделений;da27d3ff-9554-40fb-8ccc-141f1c5d3606;Выполнение поручений ЦАС/руководства СЦА.Контроль исполнения  поручений;NO 038 001 00 00;Ручные;Непр.;495;-;90;-;18,18181818;100;2026-03-12 00:00:00
24;ОСЦ Воронеж;Вне подразделений;da27d3ff-9554-40fb-8ccc-141f1c5d3606;Заполнение и верификация отчетов;NO 010 002 00 00;Ручные;Непр.;495;-;185;-;37,37373737;100;2026-03-12 00:00:00
25;ОСЦ Воронеж;Вне подразделений;da27d3ff-9554-40fb-8ccc-141f1c5d3606;Коммуникации и взаимодействие;NO 041 001 00 00;Ручные;Непр.;495;-;120;08:15:00;24,24242424;100;2026-03-12 00:00:00
26;ОСЦ Воронеж;Вне подразделений;da27d3ff-9554-40fb-8ccc-141f1c5d3606;Работа в MS OUTLOOK;NO 003 004 00 00;Ручные;Непр.;495;-;100;-;20,2020202;100;2026-03-12 00:00:00
27;ОСЦ Воронеж;Вне подразделений;bcc93157-3520-4b21-9a47-154536695fe0;Анализ и контроль производственных показателей сервиса инструментами Кадриль,Дашборд,контрольные панели;NO 008 001 00 00;Ручные;Непр.;495;-;40;-;8,080808081;100;2026-03-12 00:00:00
28;ОСЦ Воронеж;Вне подразделений;bcc93157-3520-4b21-9a47-154536695fe0;Ведение и подготовка табеля.Консультирование сотрудников по работе в АС ПУЛЬС;NO 006 009 00 00;Ручные;Непр.;495;-;30;-;6,060606061;100;2026-03-12 00:00:00
29;ОСЦ Воронеж;Вне подразделений;bcc93157-3520-4b21-9a47-154536695fe0;Заполнение и верификация отчетов;NO 010 002 00 00;Ручные;Непр.;495;-;408;-;82,42424242;100;2026-03-12 00:00:00
30;ОСЦ Воронеж;Вне подразделений;bcc93157-3520-4b21-9a47-154536695fe0;Изучение нормативной базы,обучение и контроль знаний сотрудников.;NO 003 005 00 00;Ручные;Непр.;495;-;20;-;4,04040404;100;2026-03-12 00:00:00
31;ОСЦ Воронеж;Вне подразделений;bcc93157-3520-4b21-9a47-154536695fe0;Работа в MS OUTLOOK;NO 003 004 00 00;Ручные;Непр.;495;-;80;08:15:00;16,16161616;100;2026-03-12 00:00:00
32;ОСЦ Воронеж;Вне подразделений;f4f13f5b-4176-41cd-9337-dbd5df4ae5c6;Коммуникации;IA 006 000 00 00;Ручные;Непр.;495;-;140;-;28,28282828;100;2026-03-12 00:00:00
33;ОСЦ Воронеж;Вне подразделений;f4f13f5b-4176-41cd-9337-dbd5df4ae5c6;Разработка/корректировка отчетов;IA 002 000 00 00;Ручные;Непр.;495;-;420;08:15:00;84,84848485;100;2026-03-12 00:00:00
34;ОСЦ Воронеж;Вне подразделений;a2949d65-60aa-43c6-bcaa-dd6a7bc881d3;Заполнение и верификация отчетов;NO 010 002 00 00;Ручные;Непр.;495;-;480;-;96,96969697;100;2026-03-12 00:00:00
35;ОСЦ Воронеж;Вне подразделений;a2949d65-60aa-43c6-bcaa-dd6a7bc881d3;Коммуникации и взаимодействие;NO 041 001 00 00;Ручные;Непр.;495;-;95;08:15:00;19,19191919;100;2026-03-12 00:00:00
36;ОСЦ Воронеж;Вне подразделений;a2949d65-60aa-43c6-bcaa-dd6a7bc881d3;Работа в MS OUTLOOK;NO 003 004 00 00;Ручные;Непр.;495;-;3;-;0,606060606;100;2026-03-12 00:00:00
37;ОСЦ Воронеж;Вне подразделений;a2395718-067b-40bb-8143-dead9a181542;Коммуникации;IA 006 000 00 00;Ручные;Непр.;495;-;60;-;12,12121212;100;2026-03-12 00:00:00
38;ОСЦ Воронеж;Вне подразделений;a2395718-067b-40bb-8143-dead9a181542;Разработка СУА;IA 003 000 00 01;Ручные;Непр.;495;-;55;-;11,11111111;100;2026-03-12 00:00:00
39;ОСЦ Воронеж;Вне подразделений;a2395718-067b-40bb-8143-dead9a181542;Разработка/корректировка отчетов;IA 002 000 00 00;Ручные;Непр.;495;-;450;08:15:00;90,90909091;100;2026-03-12 00:00:00
40;ОСЦ Воронеж;Вне подразделений;24104b94-27c9-4111-bcac-4eeb83e4f89a;Анализ и контроль производственных показателей сервиса инструментами Кадриль,Дашборд,контрольные панели;NO 008 001 00 00;Ручные;Непр.;495;-;45;-;9,090909091;100;2026-03-12 00:00:00
41;ОСЦ Воронеж;Вне подразделений;24104b94-27c9-4111-bcac-4eeb83e4f89a;Выполнение поручений ЦАС/руководства СЦА.Контроль исполнения  поручений;NO 038 001 00 00;Ручные;Непр.;495;-;80;-;16,16161616;100;2026-03-12 00:00:00
42;ОСЦ Воронеж;Вне подразделений;24104b94-27c9-4111-bcac-4eeb83e4f89a;Заполнение и верификация отчетов;NO 010 002 00 00;Ручные;Непр.;495;-;60;-;12,12121212;100;2026-03-12 00:00:00
43;ОСЦ Воронеж;Вне подразделений;24104b94-27c9-4111-bcac-4eeb83e4f89a;Изучение нормативной базы,обучение и контроль знаний сотрудников.;NO 003 005 00 00;Ручные;Непр.;495;-;20;-;4,04040404;100;2026-03-12 00:00:00
44;ОСЦ Воронеж;Вне подразделений;24104b94-27c9-4111-bcac-4eeb83e4f89a;Кадровые мероприятия.Предложения по кадровым вопросам;NO 033 001 00 00;Ручные;Непр.;495;-;60;-;12,12121212;100;2026-03-12 00:00:00
45;ОСЦ Воронеж;Вне подразделений;24104b94-27c9-4111-bcac-4eeb83e4f89a;Коммуникации и взаимодействие;NO 041 001 00 00;Ручные;Непр.;495;-;80;08:15:00;16,16161616;100;2026-03-12 00:00:00
46;ОСЦ Воронеж;Вне подразделений;24104b94-27c9-4111-bcac-4eeb83e4f89a;Мониторинг и  уточнение информации по инцидентам;NO 020 001 00 00;Ручные;Непр.;495;-;40;-;8,080808081;100;2026-03-12 00:00:00
47;ОСЦ Воронеж;Вне подразделений;24104b94-27c9-4111-bcac-4eeb83e4f89a;Работа в СЭОДО;NO 003 002 00 00;Ручные;Непр.;495;-;20;-;4,04040404;100;2026-03-12 00:00:00
48;ОСЦ Воронеж;Вне подразделений;24104b94-27c9-4111-bcac-4eeb83e4f89a;Работа в MS OUTLOOK;NO 003 004 00 00;Ручные;Непр.;495;-;40;-;8,080808081;100;2026-03-12 00:00:00
49;ОСЦ Воронеж;Вне подразделений;24104b94-27c9-4111-bcac-4eeb83e4f89a;Работа по направлениям ПБ,ОТ,ЭБ и ГО;NO 037 001 00 00;Ручные;Непр.;495;-;20;-;4,04040404;100;2026-03-12 00:00:00
50;ОСЦ Воронеж;Вне подразделений;24104b94-27c9-4111-bcac-4eeb83e4f89a;Работа с заявками СберДруг,Курс,САП,САП УВХД и др.ПО;NO 031 001 00 00;Ручные;Непр.;495;-;10;-;2,02020202;100;2026-03-12 00:00:00
51;ОСЦ Воронеж;Вне подразделений;24104b94-27c9-4111-bcac-4eeb83e4f89a;Работа с каналами коммуникации(СберЧат,Сообщества СберДруг,Информационные экраны и т.д.)(контент редактор);NO 005 003 00 00;Ручные;Непр.;495;-;20;-;4,04040404;100;2026-03-12 00:00:00
52;ОСЦ Воронеж;Вне подразделений;22333662-ccde-4000-86d8-367ec6222801;Коммуникации;IA 006 000 00 00;Ручные;Непр.;495;-;20;-;4,04040404;100;2026-03-12 00:00:00
53;ОСЦ Воронеж;Вне подразделений;22333662-ccde-4000-86d8-367ec6222801;Разработка/корректировка отчетов;IA 002 000 00 00;Ручные;Непр.;495;-;545;08:15:00;110,1010101;100;2026-03-12 00:00:00
54;ОСЦ Воронеж;Воронеж;513303bb-465d-4608-9abd-99217783a04d;АК изъят с хранения;BX 0013 000 00 01;Автоматические;СЛиУД;928,125;-;1;-;0,107744108;0;2026-03-12 00:00:00
55;ОСЦ Воронеж;Воронеж;513303bb-465d-4608-9abd-99217783a04d;АК размещен на хранение;BX 0010 000 00 01;Автоматические;СЛиУД;690,6976744;-;21;-;3,04040404;0;2026-03-12 00:00:00
56;ОСЦ Воронеж;Воронеж;513303bb-465d-4608-9abd-99217783a04d;Добавление ШК во внутреннюю заявку;SZ 184 000 00 00;Ручные;СИД;759,7268053;-;20;-;2,632525253;100;2026-03-12 00:00:00
57;ОСЦ Воронеж;Воронеж;513303bb-465d-4608-9abd-99217783a04d;Документ включен в TD-реестр на уничтожение;TD 193 000 00 01;Автоматические;СЛиУД;0;-;467;-;0;-;2026-03-12 00:00:00
58;ОСЦ Воронеж;Воронеж;513303bb-465d-4608-9abd-99217783a04d;Доукомплектование документа ЗД в архивный/файловый короб;CP 0030 000 00 03;Автоматические;СЛиУД;4697,137435;-;7;-;0,149026936;0;2026-03-12 00:00:00
59;ОСЦ Воронеж;Воронеж;513303bb-465d-4608-9abd-99217783a04d;Доукомплектование Сшива в архивный/файловый короб;CP 0030 000 00 04;Автоматические;СЛиУД;3970,057479;-;7;-;0,176319865;0;2026-03-12 00:00:00
60;ОСЦ Воронеж;Воронеж;513303bb-465d-4608-9abd-99217783a04d;Закрытие внутренней заявки;SZ 185 000 00 00;Ручные;СИД;366,0565724;-;7;-;1,912272727;100;2026-03-12 00:00:00
61;ОСЦ Воронеж;Воронеж;513303bb-465d-4608-9abd-99217783a04d;Занесение в таблицу соответствий ШК АК и ОСГ(пломба);SL 113 000 00 00;Ручные;СЛиУД;645,6521739;-;23;-;3,562289562;100;2026-03-12 00:00:00
62;ОСЦ Воронеж;Воронеж;513303bb-465d-4608-9abd-99217783a04d;Перемаркировка ЕХ ист.фонда ДВА;CP 0047 000 00 02;Автоматические;СКД;469,7880418;-;2;-;0,425723906;0;2026-03-12 00:00:00
63;ОСЦ Воронеж;Воронеж;513303bb-465d-4608-9abd-99217783a04d;Подбор по запросам продуктовых документов/сшивов кроме однолистных документов по ШК GUID (ОСГ);PD 001 000 03 00;Автоматические;СЛиУД;230,0987798;-;27;-;11,73409091;0;2026-03-12 00:00:00
64;ОСЦ Воронеж;Воронеж;513303bb-465d-4608-9abd-99217783a04d;Подбор продуктовых документов на уничтожение по актам по КБП: 02 (ОСГ);PD 004 000 03 00;Автоматические;СЛиУД;724,3725763;-;167;-;23,05443434;0;2026-03-12 00:00:00
65;ОСЦ Воронеж;Воронеж;513303bb-465d-4608-9abd-99217783a04d;Подбор продуктовых документов на уничтожение по актам по КБП: 04 (ОСГ);PD 007 000 03 00;Автоматические;СЛиУД;630,8947234;-;300;-;47,55151515;0;2026-03-12 00:00:00
66;ОСЦ Воронеж;Воронеж;513303bb-465d-4608-9abd-99217783a04d;Поиск документа(все виды документов)в АК по заявке в АС ЦАРC,в том числе сшивы ДД;SZ 060 000 00 01;Ручные;СИД;123,75;-;6;-;4,848484848;100;2026-03-12 00:00:00
67;ОСЦ Воронеж;Воронеж;513303bb-465d-4608-9abd-99217783a04d;Поиск необходимого АК в партии для аутсорсинговой площадки ОСГ;SL 092 000 00 00;Ручные;СЛиУД;618,75;-;23;-;3,717171717;100;2026-03-12 00:00:00
68;ОСЦ Воронеж;Воронеж;513303bb-465d-4608-9abd-99217783a04d;Прием и исполнение внутренней заявки;SZ 183 000 00 00;Ручные;СИД;41,13322734;-;7;08:15:00;17,01787205;100;2026-03-12 00:00:00
69;ОСЦ Воронеж;Воронеж;513303bb-465d-4608-9abd-99217783a04d;Принято в СОЗ из СЛ LZ ЦАРС по запросам(с сортировкой);RR 0099 000 00 01;Автоматические;СИД;2525,510204;-;7;-;0,277171717;0;2026-03-12 00:00:00
70;ОСЦ Воронеж;Воронеж;513303bb-465d-4608-9abd-99217783a04d;Размещение ЭГО документов/досье в ЕСМ по запросу(Прикрепление ЭГО общим томом);SS 0097 000 00 01;Автоматические;СИД;467,7165354;-;8;-;1,71043771;0;2026-03-12 00:00:00
71;ОСЦ Воронеж;Воронеж;513303bb-465d-4608-9abd-99217783a04d;Сканирование общим томом;SC 000 000 00 01;Автоматические;СИД;5818,965517;-;87;-;1,495111111;0;2026-03-12 00:00:00
72;ОСЦ Воронеж;Воронеж;513303bb-465d-4608-9abd-99217783a04d;Сканирование скелетон;SC 000 000 00 02;Автоматические;СИД;3397,003317;-;7;-;0,206063973;0;2026-03-12 00:00:00
73;ОСЦ Воронеж;Воронеж;513303bb-465d-4608-9abd-99217783a04d;Создание заявок в АС ЦАРС;PS 000 000 00 03;Автоматические;СИД;857,5883576;-;7;-;0,816242424;0;2026-03-12 00:00:00
74;ОСЦ Воронеж;Воронеж;29a1d2fa-c57a-471e-b254-3346006f086b;АК изъят с хранения;BX 0013 000 00 01;Автоматические;СЛиУД;928,125;-;23;-;2,478114478;0;2026-03-12 00:00:00
75;ОСЦ Воронеж;Воронеж;29a1d2fa-c57a-471e-b254-3346006f086b;Подбор документов завершенного делопроизводства без ШК на уничтожение по акту (Мезонин);PD 009 000 02 00;Автоматические;СЛиУД;707,8169685;-;710;-;100,3084175;0;2026-03-12 00:00:00
76;ОСЦ Воронеж;Воронеж;29a1d2fa-c57a-471e-b254-3346006f086b;Регистрация АК;BX 0077 000 00 01;Автоматические;СКД;1720,941013;-;2;-;0,116215488;0;2026-03-12 00:00:00
77;ОСЦ Воронеж;Воронеж;29a1d2fa-c57a-471e-b254-3346006f086b;Регистрация FB;BX 0085 000 00 01;Автоматические;СКД;1720,941013;-;3;-;0,174323232;0;2026-03-12 00:00:00
78;ОСЦ Воронеж;Воронеж;29a1d2fa-c57a-471e-b254-3346006f086b;Сортировка СДД;SR 326 000 00 00;Ручные;СКД;1711,618257;-;153;08:15:00;8,938909091;100;2026-03-12 00:00:00
79;ОСЦ Воронеж;Воронеж;76017a9b-f12e-4a87-ab93-74d483674bc1;169 Выполнена перерегистрация продуктового документа;PR 169 000 00 00;Автоматические;СКД;741,0179641;-;2;-;0,26989899;0;2026-03-12 00:00:00
80;ОСЦ Воронеж;Воронеж;76017a9b-f12e-4a87-ab93-74d483674bc1;Опись некорректна оформлена,поскольку все вложенные документы относятся к другому договору;SR 0101 000 00 01;Автоматические;СКД;2828,571429;-;8;-;0,282828283;0;2026-03-12 00:00:00
81;ОСЦ Воронеж;Воронеж;76017a9b-f12e-4a87-ab93-74d483674bc1;Поиск дополнительных реквизитов для регистрации в АС ЦАРС при некорректной передачи документов по БП;SR 321 000 00 00;Ручные;СКД;370,7818879;-;100;-;26,97003367;100;2026-03-12 00:00:00
82;ОСЦ Воронеж;Воронеж;76017a9b-f12e-4a87-ab93-74d483674bc1;Прием документов от ГОСБ/курьера;SR 319 000 00 00;Ручные;СКД;303,4079765;-;76;-;25,04878114;100;2026-03-12 00:00:00
83;ОСЦ Воронеж;Воронеж;76017a9b-f12e-4a87-ab93-74d483674bc1;Прием ТУ в АС ЦАРС;TU 010 000 00 00;Автоматические;СКД;60860,65574;-;7167;-;11,77608081;0;2026-03-12 00:00:00
84;ОСЦ Воронеж;Воронеж;76017a9b-f12e-4a87-ab93-74d483674bc1;Регистрация БП 239 (VSP/Однолистный документ);RG 0001 239 01 02;Автоматические;СКД;2029,65899;ВСП;52;-;2,562006734;0;2026-03-12 00:00:00
85;ОСЦ Воронеж;Воронеж;76017a9b-f12e-4a87-ab93-74d483674bc1;Регистрация БП 239 (VSP/Опись);RG 0001 239 02 02;Автоматические;СКД;1100;ВСП;4;-;0,363636364;0;2026-03-12 00:00:00
86;ОСЦ Воронеж;Воронеж;76017a9b-f12e-4a87-ab93-74d483674bc1;Регистрация по БП 07 (REG);RG 0001 007 00 01;Автоматические;СКД;781,5789474;Рег.;2;-;0,255892256;0;2026-03-12 00:00:00
87;ОСЦ Воронеж;Воронеж;76017a9b-f12e-4a87-ab93-74d483674bc1;Регистрация по БП 07 (VSP);RG 0001 007 00 02;Автоматические;СКД;825;ВСП;31;-;3,757575758;0;2026-03-12 00:00:00
88;ОСЦ Воронеж;Воронеж;76017a9b-f12e-4a87-ab93-74d483674bc1;Регистрация по БП 323 (REG/Однолистный документ);RG 0001 323 01 01;Автоматические;СКД;1789,156627;-;4;-;0,223569024;0;2026-03-12 00:00:00
89;ОСЦ Воронеж;Воронеж;76017a9b-f12e-4a87-ab93-74d483674bc1;Регистрация по БП 323 (VSP/Однолистный документ);RG 0001 323 01 02;Автоматические;СКД;3368,110683;ВСП;171;-;5,077030303;0;2026-03-12 00:00:00
90;ОСЦ Воронеж;Воронеж;76017a9b-f12e-4a87-ab93-74d483674bc1;Регистрация по БП 323 (VSP/Опись);RG 0001 323 02 02;Автоматические;СКД;2034,246575;ВСП;2;-;0,098316498;0;2026-03-12 00:00:00
91;ОСЦ Воронеж;Воронеж;76017a9b-f12e-4a87-ab93-74d483674bc1;Сопровождение наемного персонала/перемещение коробов/палет в минутах;SR 046 000 00 00;Ручные;СКД;495;-;60;-;12,12121212;100;2026-03-12 00:00:00
92;ОСЦ Воронеж;Воронеж;76017a9b-f12e-4a87-ab93-74d483674bc1;Сортировка документов входящего потока;TU 020 000 00 00;Ручные;СКД;9434,561626;-;2167;08:15:00;22,96874074;100;2026-03-12 00:00:00
93;ОСЦ Воронеж;Воронеж;410646bf-a252-483a-a088-9cdd67806f0e;АК изъят с хранения;BX 0013 000 00 01;Автоматические;СЛиУД;815,625;-;15;-;1,83908046;0;2026-03-12 00:00:00
94;ОСЦ Воронеж;Воронеж;410646bf-a252-483a-a088-9cdd67806f0e;Документ/Опись/Сшив присутствовал внутри короба при проведении контроля полноты короба;BF 0038 000 00 01;Автоматические;СЛиУД;0;-;309;-;0;-;2026-03-12 00:00:00
95;ОСЦ Воронеж;Воронеж;410646bf-a252-483a-a088-9cdd67806f0e;Подбор документов завершенного делопроизводства без ШК на уничтожение по акту (Мезонин);PD 009 000 02 00;Автоматические;СЛиУД;622,0209724;-;226;-;36,33318008;0;2026-03-12 00:00:00
96;ОСЦ Воронеж;Воронеж;410646bf-a252-483a-a088-9cdd67806f0e;Сверка строк рабочего Акта с Перечнем 1350-4;SS 000 000 00 00;Ручные;СКД;260,5154413;-;215;-;82,52869732;100;2026-03-12 00:00:00
97;ОСЦ Воронеж;Воронеж;410646bf-a252-483a-a088-9cdd67806f0e;Сортировка СДД;SR 326 000 00 00;Ручные;СКД;1504,149378;-;249;07:15:00;16,5542069;100;2026-03-12 00:00:00
98;ОСЦ Воронеж;Воронеж;410646bf-a252-483a-a088-9cdd67806f0e;Сшив присутствовал внутри короба при проведении контроля полноты короба;BF 101 000 00 05;Ручные;СЛиУД;5437,5;-;309;-;5,682758621;100;2026-03-12 00:00:00
99;ОСЦ Воронеж;Воронеж;14fade77-b2ac-4ee6-8b3e-6a9d65a08d86;АК изъят с хранения;BX 0013 000 00 01;Автоматические;СЛиУД;928,125;-;11;-;1,185185185;0;2026-03-12 00:00:00
100;ОСЦ Воронеж;Воронеж;14fade77-b2ac-4ee6-8b3e-6a9d65a08d86;Документ включен в TD-реестр на уничтожение;TD 193 000 00 01;Автоматические;СЛиУД;0;-;29;-;0;-;2026-03-12 00:00:00
101;ОСЦ Воронеж;Воронеж;14fade77-b2ac-4ee6-8b3e-6a9d65a08d86;Подбор документов завершенного делопроизводства без ШК на уничтожение по акту (Мезонин);PD 009 000 02 00;Автоматические;СЛиУД;707,8169685;-;95;-;13,42154882;0;2026-03-12 00:00:00
102;ОСЦ Воронеж;Воронеж;14fade77-b2ac-4ee6-8b3e-6a9d65a08d86;Подбор Сшивов на уничтожение по актам (Мезонин);PD 003 000 02 00;Автоматические;СЛиУД;1923,076923;-;29;-;1,508;0;2026-03-12 00:00:00
103;ОСЦ Воронеж;Воронеж;14fade77-b2ac-4ee6-8b3e-6a9d65a08d86;Прием ТУ в АС ЦАРС;TU 010 000 00 00;Автоматические;СКД;60860,65574;-;5341;-;8,775784512;0;2026-03-12 00:00:00
104;ОСЦ Воронеж;Воронеж;14fade77-b2ac-4ee6-8b3e-6a9d65a08d86;Прием/отправка/сопровождение машин(уничтожение,НПФ)/перемещение сотрудника между площадками,в минутах;SL 080 000 00 00;Ручные;СЛиУД;495;-;120;-;24,24242424;100;2026-03-12 00:00:00
105;ОСЦ Воронеж;Воронеж;14fade77-b2ac-4ee6-8b3e-6a9d65a08d86;Сортировка документов входящего потока;TU 020 000 00 00;Ручные;СКД;9434,561626;-;4446;08:15:00;47,12460606;100;2026-03-12 00:00:00
106;ОСЦ Воронеж;Воронеж;14fade77-b2ac-4ee6-8b3e-6a9d65a08d86;Сортировка СДД;SR 326 000 00 00;Ручные;СКД;1711,618257;-;127;-;7,419878788;100;2026-03-12 00:00:00
107;ОСЦ Воронеж;Воронеж;5044d13b-0b12-49c3-9174-37ac64430fff;169 Выполнена перерегистрация продуктового документа;PR 169 000 00 00;Автоматические;СКД;741,0179641;-;4;-;0,53979798;0;2026-03-12 00:00:00
108;ОСЦ Воронеж;Воронеж;5044d13b-0b12-49c3-9174-37ac64430fff;АК изъят с хранения;BX 0013 000 00 01;Автоматические;СЛиУД;928,125;-;1;-;0,107744108;0;2026-03-12 00:00:00
109;ОСЦ Воронеж;Воронеж;5044d13b-0b12-49c3-9174-37ac64430fff;Анализ и выборка документов,подлежащих хранению из коробов;AV 000 000 00 00;Ручные;СКД;218,329376;-;132;-;60,45911111;100;2026-03-12 00:00:00
110;ОСЦ Воронеж;Воронеж;5044d13b-0b12-49c3-9174-37ac64430fff;ДВА_Определение ОЕ;SR 332 000 00 00;Ручные;СКД;782,2170718;-;70;08:15:00;8,948922559;100;2026-03-12 00:00:00
111;ОСЦ Воронеж;Воронеж;5044d13b-0b12-49c3-9174-37ac64430fff;ДВА_Регистрация в АС ЦАРС документов завершенного делопроизводства;RG 0011 000 00 01;Автоматические;СКД;414,7755045;-;70;-;16,87659933;0;2026-03-12 00:00:00
112;ОСЦ Воронеж;Воронеж;5044d13b-0b12-49c3-9174-37ac64430fff;Опись некорректна оформлена,поскольку все вложенные документы относятся к другому договору;SR 0101 000 00 01;Автоматические;СКД;2828,571429;-;8;-;0,282828283;0;2026-03-12 00:00:00
113;ОСЦ Воронеж;Воронеж;5044d13b-0b12-49c3-9174-37ac64430fff;Регистрация АК;BX 0077 000 00 01;Автоматические;СКД;1720,941013;-;2;-;0,116215488;0;2026-03-12 00:00:00
