ÎÑÖ;Ïëîùàäêà;ÔÈÎ;Îïåðàöèè;Èíäåêñ;Âèä_îïåðàöèé;Ñåêòîð_ïðîèç;Íîðìàòèâ, øò;ØÊ;Êîë-âî îïåðàöèé;Âðåìÿ ïî ØÐ;Âûðàáîòêà, %;Äîëÿ ðó÷íûõ îïåðàöèé â âûðàáîòêå, %;Äàòà;
ÎÑÖ Âîðîíåæ;Âíå ïîäðàçäåëåíèé;545c9ea1-6090-42e1-ace3-00a80ee4a4f9;Ðàáîòà â MS OUTLOOK;NO 003 004 00 00;Ðó÷íûå;Íåïð.;495;-;80;8:15:00;16,16;100,0;12.03.2026;545c9ea1-6090-42e1-ace3-00a80ee4a4f9
ÎÑÖ Âîðîíåæ;Âíå ïîäðàçäåëåíèé;d3d999a7-ba8b-4ce9-b7df-996e8ae1841c;Êîììóíèêàöèè;IA 006 000 00 00;Ðó÷íûå;Íåïð.;495;-;140;-;28,28;100,0;12.03.2026;d3d999a7-ba8b-4ce9-b7df-996e8ae1841c
ÎÑÖ Âîðîíåæ;Âíå ïîäðàçäåëåíèé;d3d999a7-ba8b-4ce9-b7df-996e8ae1841c;Ðàçðàáîòêà/êîððåêòèðîâêà îò÷åòîâ;IA 002 000 00 00;Ðó÷íûå;Íåïð.;495;-;420;8:15:00;84,85;100,0;12.03.2026;d3d999a7-ba8b-4ce9-b7df-996e8ae1841c
ÎÑÖ Âîðîíåæ;Âíå ïîäðàçäåëåíèé;5bb114a9-15db-417a-a550-19a97e241189;Çàïîëíåíèå è âåðèôèêàöèÿ îò÷åòîâ;NO 010 002 00 00;Ðó÷íûå;Íåïð.;495;-;480;-;96,97;100,0;12.03.2026;5bb114a9-15db-417a-a550-19a97e241189
ÎÑÖ Âîðîíåæ;Âíå ïîäðàçäåëåíèé;5bb114a9-15db-417a-a550-19a97e241189;Êîììóíèêàöèè è âçàèìîäåéñòâèå;NO 041 001 00 00;Ðó÷íûå;Íåïð.;495;-;95;8:15:00;19,19;100,0;12.03.2026;5bb114a9-15db-417a-a550-19a97e241189
ÎÑÖ Âîðîíåæ;Âíå ïîäðàçäåëåíèé;5bb114a9-15db-417a-a550-19a97e241189;Ðàáîòà â MS OUTLOOK;NO 003 004 00 00;Ðó÷íûå;Íåïð.;495;-;3;-;0,61;100,0;12.03.2026;5bb114a9-15db-417a-a550-19a97e241189
ÎÑÖ Âîðîíåæ;Âíå ïîäðàçäåëåíèé;1ed05d58-c749-4ff0-90b4-768b2b594802;Êîììóíèêàöèè;IA 006 000 00 00;Ðó÷íûå;Íåïð.;495;-;60;-;12,12;100,0;12.03.2026;1ed05d58-c749-4ff0-90b4-768b2b594802
ÎÑÖ Âîðîíåæ;Âíå ïîäðàçäåëåíèé;1ed05d58-c749-4ff0-90b4-768b2b594802;Ðàçðàáîòêà ÑÓÀ;IA 003 000 00 01;Ðó÷íûå;Íåïð.;495;-;55;-;11,11;100,0;12.03.2026;1ed05d58-c749-4ff0-90b4-768b2b594802
ÎÑÖ Âîðîíåæ;Âíå ïîäðàçäåëåíèé;1ed05d58-c749-4ff0-90b4-768b2b594802;Ðàçðàáîòêà/êîððåêòèðîâêà îò÷åòîâ;IA 002 000 00 00;Ðó÷íûå;Íåïð.;495;-;450;8:15:00;90,91;100,0;12.03.2026;1ed05d58-c749-4ff0-90b4-768b2b594802
ÎÑÖ Âîðîíåæ;Âíå ïîäðàçäåëåíèé;0f687015-2447-4a76-a4c8-27d960174c12;Àíàëèç è êîíòðîëü ïðîèçâîäñòâåííûõ ïîêàçàòåëåé ñåðâèñà èíñòðóìåíòàìè Êàäðèëü,Äàøáîðä,êîíòðîëüíûå ïàíåëè;NO 008 001 00 00;Ðó÷íûå;Íåïð.;495;-;45;-;9,09;100,0;12.03.2026;0f687015-2447-4a76-a4c8-27d960174c12
ÎÑÖ Âîðîíåæ;Âíå ïîäðàçäåëåíèé;0f687015-2447-4a76-a4c8-27d960174c12;Âûïîëíåíèå ïîðó÷åíèé ÖÀÑ/ðóêîâîäñòâà ÑÖÀ.Êîíòðîëü èñïîëíåíèÿ  ïîðó÷åíèé;NO 038 001 00 00;Ðó÷íûå;Íåïð.;495;-;80;-;16,16;100,0;12.03.2026;0f687015-2447-4a76-a4c8-27d960174c12
ÎÑÖ Âîðîíåæ;Âíå ïîäðàçäåëåíèé;0f687015-2447-4a76-a4c8-27d960174c12;Çàïîëíåíèå è âåðèôèêàöèÿ îò÷åòîâ;NO 010 002 00 00;Ðó÷íûå;Íåïð.;495;-;60;-;12,12;100,0;12.03.2026;0f687015-2447-4a76-a4c8-27d960174c12
ÎÑÖ Âîðîíåæ;Âíå ïîäðàçäåëåíèé;0f687015-2447-4a76-a4c8-27d960174c12;Èçó÷åíèå íîðìàòèâíîé áàçû,îáó÷åíèå è êîíòðîëü çíàíèé ñîòðóäíèêîâ.;NO 003 005 00 00;Ðó÷íûå;Íåïð.;495;-;20;-;4,04;100,0;12.03.2026;0f687015-2447-4a76-a4c8-27d960174c12
ÎÑÖ Âîðîíåæ;Âíå ïîäðàçäåëåíèé;0f687015-2447-4a76-a4c8-27d960174c12;Êàäðîâûå ìåðîïðèÿòèÿ.Ïðåäëîæåíèÿ ïî êàäðîâûì âîïðîñàì;NO 033 001 00 00;Ðó÷íûå;Íåïð.;495;-;60;-;12,12;100,0;12.03.2026;0f687015-2447-4a76-a4c8-27d960174c12
ÎÑÖ Âîðîíåæ;Âíå ïîäðàçäåëåíèé;0f687015-2447-4a76-a4c8-27d960174c12;Êîììóíèêàöèè è âçàèìîäåéñòâèå;NO 041 001 00 00;Ðó÷íûå;Íåïð.;495;-;80;8:15:00;16,16;100,0;12.03.2026;0f687015-2447-4a76-a4c8-27d960174c12
ÎÑÖ Âîðîíåæ;Âíå ïîäðàçäåëåíèé;0f687015-2447-4a76-a4c8-27d960174c12;Ìîíèòîðèíã è  óòî÷íåíèå èíôîðìàöèè ïî èíöèäåíòàì;NO 020 001 00 00;Ðó÷íûå;Íåïð.;495;-;40;-;8,08;100,0;12.03.2026;0f687015-2447-4a76-a4c8-27d960174c12
ÎÑÖ Âîðîíåæ;Âíå ïîäðàçäåëåíèé;0f687015-2447-4a76-a4c8-27d960174c12;Ðàáîòà â ÑÝÎÄÎ;NO 003 002 00 00;Ðó÷íûå;Íåïð.;495;-;20;-;4,04;100,0;12.03.2026;0f687015-2447-4a76-a4c8-27d960174c12
ÎÑÖ Âîðîíåæ;Âíå ïîäðàçäåëåíèé;0f687015-2447-4a76-a4c8-27d960174c12;Ðàáîòà â MS OUTLOOK;NO 003 004 00 00;Ðó÷íûå;Íåïð.;495;-;40;-;8,08;100,0;12.03.2026;0f687015-2447-4a76-a4c8-27d960174c12
ÎÑÖ Âîðîíåæ;Âíå ïîäðàçäåëåíèé;0f687015-2447-4a76-a4c8-27d960174c12;Ðàáîòà ïî íàïðàâëåíèÿì ÏÁ,ÎÒ,ÝÁ è ÃÎ;NO 037 001 00 00;Ðó÷íûå;Íåïð.;495;-;20;-;4,04;100,0;12.03.2026;0f687015-2447-4a76-a4c8-27d960174c12
ÎÑÖ Âîðîíåæ;Âíå ïîäðàçäåëåíèé;0f687015-2447-4a76-a4c8-27d960174c12;Ðàáîòà ñ çàÿâêàìè ÑáåðÄðóã,Êóðñ,ÑÀÏ,ÑÀÏ ÓÂÕÄ è äð.ÏÎ;NO 031 001 00 00;Ðó÷íûå;Íåïð.;495;-;10;-;2,02;100,0;12.03.2026;0f687015-2447-4a76-a4c8-27d960174c12
ÎÑÖ Âîðîíåæ;Âíå ïîäðàçäåëåíèé;0f687015-2447-4a76-a4c8-27d960174c12;Ðàáîòà ñ êàíàëàìè êîììóíèêàöèè(Ñáåð×àò,Ñîîáùåñòâà ÑáåðÄðóã,Èíôîðìàöèîííûå ýêðàíû è ò.ä.)(êîíòåíò ðåäàêòîð);NO 005 003 00 00;Ðó÷íûå;Íåïð.;495;-;20;-;4,04;100,0;12.03.2026;0f687015-2447-4a76-a4c8-27d960174c12
ÎÑÖ Âîðîíåæ;Âíå ïîäðàçäåëåíèé;01c1247f-12af-4f9a-845c-de542fd2b61c;Êîììóíèêàöèè;IA 006 000 00 00;Ðó÷íûå;Íåïð.;495;-;20;-;4,04;100,0;12.03.2026;01c1247f-12af-4f9a-845c-de542fd2b61c
ÎÑÖ Âîðîíåæ;Âíå ïîäðàçäåëåíèé;01c1247f-12af-4f9a-845c-de542fd2b61c;Ðàçðàáîòêà/êîððåêòèðîâêà îò÷åòîâ;IA 002 000 00 00;Ðó÷íûå;Íåïð.;495;-;545;8:15:00;110,10;100,0;12.03.2026;01c1247f-12af-4f9a-845c-de542fd2b61c
ÎÑÖ Âîðîíåæ;Âîðîíåæ;1ab4d251-ecd7-42c1-b4bc-2c2de8ae8a84;ÀÊ èçúÿò ñ õðàíåíèÿ;BX 0013 000 00 01;Àâòîìàòè÷åñêèå;ÑËèÓÄ;928,125;-;1;-;0,11;0,0;12.03.2026;1ab4d251-ecd7-42c1-b4bc-2c2de8ae8a84
ÎÑÖ Âîðîíåæ;Âîðîíåæ;1ab4d251-ecd7-42c1-b4bc-2c2de8ae8a84;ÀÊ ðàçìåùåí íà õðàíåíèå;BX 0010 000 00 01;Àâòîìàòè÷åñêèå;ÑËèÓÄ;690,6976744;-;21;-;3,04;0,0;12.03.2026;1ab4d251-ecd7-42c1-b4bc-2c2de8ae8a84
ÎÑÖ Âîðîíåæ;Âîðîíåæ;1ab4d251-ecd7-42c1-b4bc-2c2de8ae8a84;Äîáàâëåíèå ØÊ âî âíóòðåííþþ çàÿâêó;SZ 184 000 00 00;Ðó÷íûå;ÑÈÄ;759,7268053;-;20;-;2,63;100,0;12.03.2026;1ab4d251-ecd7-42c1-b4bc-2c2de8ae8a84
ÎÑÖ Âîðîíåæ;Âîðîíåæ;1ab4d251-ecd7-42c1-b4bc-2c2de8ae8a84;Äîêóìåíò âêëþ÷åí â TD-ðååñòð íà óíè÷òîæåíèå;TD 193 000 00 01;Àâòîìàòè÷åñêèå;ÑËèÓÄ;0;-;467;-;0,00;-;12.03.2026;1ab4d251-ecd7-42c1-b4bc-2c2de8ae8a84
ÎÑÖ Âîðîíåæ;Âîðîíåæ;1ab4d251-ecd7-42c1-b4bc-2c2de8ae8a84;Äîóêîìïëåêòîâàíèå äîêóìåíòà ÇÄ â àðõèâíûé/ôàéëîâûé êîðîá;CP 0030 000 00 03;Àâòîìàòè÷åñêèå;ÑËèÓÄ;4697,137435;-;7;-;0,15;0,0;12.03.2026;1ab4d251-ecd7-42c1-b4bc-2c2de8ae8a84
ÎÑÖ Âîðîíåæ;Âîðîíåæ;1ab4d251-ecd7-42c1-b4bc-2c2de8ae8a84;Äîóêîìïëåêòîâàíèå Ñøèâà â àðõèâíûé/ôàéëîâûé êîðîá;CP 0030 000 00 04;Àâòîìàòè÷åñêèå;ÑËèÓÄ;3970,057479;-;7;-;0,18;0,0;12.03.2026;1ab4d251-ecd7-42c1-b4bc-2c2de8ae8a84
ÎÑÖ Âîðîíåæ;Âîðîíåæ;1ab4d251-ecd7-42c1-b4bc-2c2de8ae8a84;Çàêðûòèå âíóòðåííåé çàÿâêè;SZ 185 000 00 00;Ðó÷íûå;ÑÈÄ;366,0565724;-;7;-;1,91;100,0;12.03.2026;1ab4d251-ecd7-42c1-b4bc-2c2de8ae8a84
ÎÑÖ Âîðîíåæ;Âîðîíåæ;1ab4d251-ecd7-42c1-b4bc-2c2de8ae8a84;Çàíåñåíèå â òàáëèöó ñîîòâåòñòâèé ØÊ ÀÊ è ÎÑÃ(ïëîìáà);SL 113 000 00 00;Ðó÷íûå;ÑËèÓÄ;645,6521739;-;23;-;3,56;100,0;12.03.2026;1ab4d251-ecd7-42c1-b4bc-2c2de8ae8a84
ÎÑÖ Âîðîíåæ;Âîðîíåæ;1ab4d251-ecd7-42c1-b4bc-2c2de8ae8a84;Ïåðåìàðêèðîâêà ÅÕ èñò.ôîíäà ÄÂÀ;CP 0047 000 00 02;Àâòîìàòè÷åñêèå;ÑÊÄ;469,7880418;-;2;-;0,43;0,0;12.03.2026;1ab4d251-ecd7-42c1-b4bc-2c2de8ae8a84
ÎÑÖ Âîðîíåæ;Âîðîíåæ;1ab4d251-ecd7-42c1-b4bc-2c2de8ae8a84;Ïîäáîð ïî çàïðîñàì ïðîäóêòîâûõ äîêóìåíòîâ/ñøèâîâ êðîìå îäíîëèñòíûõ äîêóìåíòîâ ïî ØÊ GUID (ÎÑÃ);PD 001 000 03 00;Àâòîìàòè÷åñêèå;ÑËèÓÄ;230,0987798;-;27;-;11,73;0,0;12.03.2026;1ab4d251-ecd7-42c1-b4bc-2c2de8ae8a84
ÎÑÖ Âîðîíåæ;Âîðîíåæ;1ab4d251-ecd7-42c1-b4bc-2c2de8ae8a84;Ïîäáîð ïðîäóêòîâûõ äîêóìåíòîâ íà óíè÷òîæåíèå ïî àêòàì ïî ÊÁÏ: 02 (ÎÑÃ);PD 004 000 03 00;Àâòîìàòè÷åñêèå;ÑËèÓÄ;724,3725763;-;167;-;23,05;0,0;12.03.2026;1ab4d251-ecd7-42c1-b4bc-2c2de8ae8a84
ÎÑÖ Âîðîíåæ;Âîðîíåæ;1ab4d251-ecd7-42c1-b4bc-2c2de8ae8a84;Ïîäáîð ïðîäóêòîâûõ äîêóìåíòîâ íà óíè÷òîæåíèå ïî àêòàì ïî ÊÁÏ: 04 (ÎÑÃ);PD 007 000 03 00;Àâòîìàòè÷åñêèå;ÑËèÓÄ;630,8947234;-;300;-;47,55;0,0;12.03.2026;1ab4d251-ecd7-42c1-b4bc-2c2de8ae8a84
ÎÑÖ Âîðîíåæ;Âîðîíåæ;1ab4d251-ecd7-42c1-b4bc-2c2de8ae8a84;Ïîèñê äîêóìåíòà(âñå âèäû äîêóìåíòîâ)â ÀÊ ïî çàÿâêå â ÀÑ ÖÀÐC,â òîì ÷èñëå ñøèâû ÄÄ;SZ 060 000 00 01;Ðó÷íûå;ÑÈÄ;123,75;-;6;-;4,85;100,0;12.03.2026;1ab4d251-ecd7-42c1-b4bc-2c2de8ae8a84
ÎÑÖ Âîðîíåæ;Âîðîíåæ;1ab4d251-ecd7-42c1-b4bc-2c2de8ae8a84;Ïîèñê íåîáõîäèìîãî ÀÊ â ïàðòèè äëÿ àóòñîðñèíãîâîé ïëîùàäêè ÎÑÃ;SL 092 000 00 00;Ðó÷íûå;ÑËèÓÄ;618,75;-;23;-;3,72;100,0;12.03.2026;1ab4d251-ecd7-42c1-b4bc-2c2de8ae8a84
ÎÑÖ Âîðîíåæ;Âîðîíåæ;1ab4d251-ecd7-42c1-b4bc-2c2de8ae8a84;Ïðèåì è èñïîëíåíèå âíóòðåííåé çàÿâêè;SZ 183 000 00 00;Ðó÷íûå;ÑÈÄ;41,13322734;-;7;8:15:00;17,02;100,0;12.03.2026;1ab4d251-ecd7-42c1-b4bc-2c2de8ae8a84
ÎÑÖ Âîðîíåæ;Âîðîíåæ;1ab4d251-ecd7-42c1-b4bc-2c2de8ae8a84;Ïðèíÿòî â ÑÎÇ èç ÑË LZ ÖÀÐÑ ïî çàïðîñàì(ñ ñîðòèðîâêîé);RR 0099 000 00 01;Àâòîìàòè÷åñêèå;ÑÈÄ;2525,510204;-;7;-;0,28;0,0;12.03.2026;1ab4d251-ecd7-42c1-b4bc-2c2de8ae8a84
ÎÑÖ Âîðîíåæ;Âîðîíåæ;1ab4d251-ecd7-42c1-b4bc-2c2de8ae8a84;Ðàçìåùåíèå ÝÃÎ äîêóìåíòîâ/äîñüå â ÅÑÌ ïî çàïðîñó(Ïðèêðåïëåíèå ÝÃÎ îáùèì òîìîì);SS 0097 000 00 01;Àâòîìàòè÷åñêèå;ÑÈÄ;467,7165354;-;8;-;1,71;0,0;12.03.2026;1ab4d251-ecd7-42c1-b4bc-2c2de8ae8a84
